date,variant,daily_return,growth_of_1,drawdown
2021-08-20,momentum,0.006599752318245108,1.1072053422370514,-0.0016551734523576611
2021-08-23,momentum,-0.00180542711863465,1.1052063636862794,-0.003457612275955313
2021-08-24,momentum,-0.0059914846398413605,1.0985845367343983,-0.009428380684954774
2021-08-25,momentum,-0.0022765920559191756,1.096083507905313,-0.011683508164306411
2021-08-26,momentum,-0.004833054844187286,1.0907860761977974,-0.0164600959727631
2021-08-27,momentum,-0.0028669586164031965,1.0876588376579897,-0.01927986417519023
2021-08-30,momentum,0.007214049636350051,1.095505262500269,-0.012204900435982324
2021-08-31,momentum,0.0035227975941209922,1.0993645058033519,-0.008725098235753626
2021-09-01,momentum,-0.012047945288129318,1.0861194223857218,-0.02066792401770501
2021-09-02,momentum,0.004012551287771243,1.0904775322726892,-0.01673830383506636
2021-09-03,momentum,0.00237309537630506,1.09306533946249,-0.014404930050199494
2021-09-07,momentum,-0.014256807864748526,1.0774817169341573,-0.028456369594917152
2021-09-08,momentum,0.003513361080883484,1.0812672992637973,-0.025042986015471613
2021-09-09,momentum,-0.012294683108399854,1.0679734604638735,-0.03702977354672321
2021-09-10,momentum,-0.001864611508199902,1.0659821048590405,-0.03882533891302187
2021-09-13,momentum,-0.0034773318753257994,1.0622753313072872,-0.04216766219977508
2021-09-14,momentum,-0.004325935304888,1.0576799969480735,-0.04631118292602854
2021-09-15,momentum,0.00018992571741777262,1.0578808775802924,-0.04613005289325234
2021-09-16,momentum,-0.0021222611699058943,1.0556357780714178,-0.04815441404313703
2021-09-17,momentum,-0.0064758068019411565,1.0487996847194105,-0.054318382163074164
2021-09-20,momentum,-0.01085532722299068,1.0374146209504118,-0.0645840655734613
2021-09-21,momentum,-0.0007547710905670335,1.036631610385587,-0.06529009047842205
2021-09-22,momentum,-0.0033180066172579558,1.033192059842669,-0.06839146414343122
2021-09-23,momentum,0.000847014382686197,1.0340671883774328,-0.06760237831452742
2021-09-24,momentum,0.0015549800872989863,1.035675142264289,-0.06615251857936166
2021-09-27,momentum,-0.005974060736831254,1.0294879560607757,-0.07173138015230551
2021-09-28,momentum,-0.0045818072647539135,1.02477104066472,-0.07598452805836664
2021-09-29,momentum,0.006888066726676672,1.0318297319723844,-0.06961984783115105
2021-09-30,momentum,-0.005678629886851017,1.0259703528182647,-0.07490313236938995
2021-10-01,momentum,-0.0029617406079258963,1.0229316947617948,-0.07764302932851652
2021-10-04,momentum,-0.0040385941992275715,1.0188004887531237,-0.08136805483988752
2021-10-05,momentum,0.004810649480360015,1.0237015807949343,-0.07694883855026102
2021-10-06,momentum,-0.004896143817279198,1.0186893906293863,-0.08146822978742552
2021-10-07,momentum,0.011661151344965086,1.030568481787026,-0.07075709179981782
2021-10-08,momentum,0.002529822624017018,1.0331756372478496,-0.06840627206744576
2021-10-11,momentum,-0.003529397213167293,1.0295291500330348,-0.07169423637461492
2021-10-12,momentum,-0.004670360991370052,1.0247208772512422,-0.0760297594011149
2021-10-13,momentum,0.00039982882633863475,1.0251305901969183,-0.07566032946424439
2021-10-14,momentum,0.00940808116984181,1.0347751019991789,-0.06696406681533906
2021-10-15,momentum,0.001225668922434157,1.036043393683408,-0.06582047366852017
2021-10-18,momentum,-0.001977628809293982,1.033994484420381,-0.06766793401284588
2021-10-19,momentum,0.013069060454677333,1.0475078208470738,-0.05548322987862553
2021-10-20,momentum,0.008461890323220894,1.056371717139798,-0.04749083256141562
2021-10-21,momentum,0.006111835098748722,1.0628280868779385,-0.041669253599984524
2021-10-22,momentum,0.0040212885310627455,1.067102025274192,-0.03781552916052133
2021-10-25,momentum,0.007564345111726863,1.0751739532627889,-0.03053723376194717
2021-10-26,momentum,-0.000645537729477451,1.0744798879102064,-0.03116305855487722
2021-10-27,momentum,-0.011266269245411499,1.0623745081942304,-0.042078236392099067
2021-10-28,momentum,0.0077616433681749995,1.0706202802502744,-0.03464318928836119
2021-10-29,momentum,0.0023883027159128096,1.0731772455733075,-0.032337624995513625
2021-11-01,momentum,0.004481202617220395,1.077986370254912,-0.028001333828057917
2021-11-02,momentum,0.007627175578795227,1.0862083615723945,-0.02058772933880948
2021-11-03,momentum,0.006745995468604523,1.0935359182575222,-0.013980618599033545
2021-11-04,momentum,0.0010238829328390255,1.0946555710206725,-0.012971050182968624
2021-11-05,momentum,-0.015598328712223565,1.0775807735972251,-0.028367052190695574
2021-11-08,momentum,-0.003360649753888157,1.073959402035641,-0.03163237021762044
2021-11-09,momentum,0.0016565557064547225,1.075738475611584,-0.030028215294558347
2021-11-10,momentum,0.008395423893022176,1.0847697561123768,-0.02188489099768487
2021-11-11,momentum,0.001993956374863302,1.0869327396828359,-0.01993457214073968
2021-11-12,momentum,0.0030493002426659533,1.0902471239497122,-0.01694605839373997
