rebalance_date,effective_date,fund_id,ticker,asset_class,sector,pre_trade_weight,weight,trade_weight_change,rebalance_turnover,estimation_end
2021-01-04,2021-01-05,combined_min_variance,GILD,equity,Healthcare,0.12655832605079984,0.12655832605079984,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,GS,equity,Financials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,INTC,equity,Tech,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,KO,equity,Consumer,3.153909283255572e-18,3.153909283255572e-18,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,LTC-USD,crypto,,4.3313191124096516e-18,4.3313191124096516e-18,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,MMM,equity,Industrials,0.07794558309876873,0.07794558309876873,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,MRK,equity,Healthcare,0.05787113938692655,0.05787113938692655,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,MS,equity,Financials,1.1117983376229345e-17,1.1117983376229345e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,NEE,equity,Utilities,2.7625369550748377e-18,2.7625369550748377e-18,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,NEM,equity,Materials,0.13616740553039025,0.13616740553039025,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,NKE,equity,Consumer,0.004595336460018089,0.004595336460018089,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,NUE,equity,Materials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,NVDA,equity,Tech,9.81850129273604e-17,9.81850129273604e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,O,equity,RealEstate,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,OXY,equity,Energy,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,PLD,equity,RealEstate,1.8890434457998443e-17,1.8890434457998443e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,PSA,equity,RealEstate,0.07780864529687283,0.07780864529687283,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,QCOM,equity,Tech,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,SBUX,equity,Consumer,2.1711956741515852e-17,2.1711956741515852e-17,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,SHW,equity,Materials,0.0,0.0,0.0,0.0,2021-01-04
2021-01-04,2021-01-05,combined_min_variance,SLB,equity,Energy,5.1802271119036005e-18,5.1802271119036005e-18,0.0,0.0,2021-01-04
